date,iexId,isEnabled,name,symbol,type
2019-04-02,2427,True,First Trust Canada AlphaDEX Fund,FCAN,et
2019-04-02,2428,True,First Capital Inc.,FCAP,cs
2019-04-02,9355,True,Fiat Chrysler Automobiles N.V.,FCAU,cs
2019-04-02,2429,True,First Community Bankshares Inc.,FCBC,cs
2019-04-02,14505,True,First Choice Bancorp,FCBP,cs
2019-04-02,2430,True,First Community Corporation,FCCO,cs
2019-04-02,2431,True,1st Constitution Bancorp (NJ),FCCY,cs
2019-04-02,11891,True,First Trust CEF Income Opportunity ETF,FCEF,N/A
2019-04-02,2434,True,FuelCell Energy Inc.,FCEL,cs
2019-04-02,2435,True,First Commonwealth Financial Corporation,FCF,cs
2019-04-02,2436,True,FirstCash Inc.,FCFS,cs
2019-04-02,2437,True,First Trust Natural Gas,FCG,N/A
2019-04-02,2443,True,FTI Consulting Inc.,FCN,cs
2019-04-02,2444,True,First Citizens BancShares Inc. Class A Common Stock,FCNCA,cs
2019-04-02,2445,True,Aberdeen Global Income Fund Inc.,FCO,cs
2019-04-02,8043,True,Fidelity MSCI Communication Services Index,FCOM,N/A
2019-04-02,9356,True,Fidelity Corporate Bond,FCOR,N/A
2019-04-02,10771,True,Four Corners Property Trust Inc.,FCPT,cs
2019-04-02,2447,True,Fibrocell Science Inc.,FCSC,cs
2019-04-02,2448,True,First Trust Senior Floating Rate Income Fund II of Beneficial Interest,FCT,cs
2019-04-02,14846,True,First Trust Lunt U.S. Factor Rotation,FCTR,N/A
2019-04-02,10792,True,First Trust SSI Strategic Convertible Securities E,FCVT,N/A
2019-04-02,2451,True,Freeport-McMoRan Inc.,FCX,cs
2019-04-02,13511,True,Fidelity D & D Bancorp Inc.,FDBC,cs
2019-04-02,10572,True,First Data Corporation Class A,FDC,cs
2019-04-02,2454,True,First Trust Dow Jones STOXX Select Dividend 30 Index Fund,FDD,et
2019-04-02,2455,True,First Defiance Financial Corp.,FDEF,cs
2019-04-02,15465,True,Fidelity Targeted Emerging Markets Factor,FDEM,N/A
2019-04-02,10428,True,First Trust Dynamic Europe Equity Income Fund of Beneficial Interest,FDEU,cs
2019-04-02,15466,True,Fidelity Targeted International Factor,FDEV,N/A
2019-04-02,14728,True,Fidelity High Yield Factor,FDHY,N/A
2019-04-02,8027,True,Fidelity MSCI Consumer Discretionary Index,FDIS,N/A
2019-04-02,9144,True,First Trust Strategic Income ETF,FDIV,N/A
2019-04-02,2457,True,First Trust Morningstar,FDL,et
2019-04-02,11819,True,Fidelity Low Volatility Factor,FDLO,N/A
2019-04-02,2458,True,First Trust DJ Select MicroCap,FDM,et
2019-04-02,11820,True,Fidelity Momentum Factor,FDMO,N/A
2019-04-02,2460,True,First Trust DJ Internet Index Fund,FDN,et
2019-04-02,15205,True,First Trust Dow Jones International Internet ETF,FDNI,N/A
2019-04-02,2462,True,Fresh Del Monte Produce Inc.,FDP,cs
2019-04-02,11821,True,Fidelity Dividend ETF for Rising Rates,FDRR,N/A
2019-04-02,2463,True,FactSet Research Systems Inc.,FDS,cs
2019-04-02,2464,True,First Trust Developed Markets Ex-US AlphaDEX Fund,FDT,et
2019-04-02,2465,True,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,FDTS,et
2019-04-02,2466,True,Fidus Investment Corporation,FDUS,cs
2019-04-02,14119,True,Fidus Investment Corporation 5.875% Notes due 2023,FDUSL,N/A
2019-04-02,15437,True,Fidus Investment Corporation 6% Notes due 2024,FDUSZ,N/A
2019-04-02,11822,True,Fidelity High Dividend,FDVV,N/A
2019-04-02,2467,True,FedEx Corporation,FDX,cs
2019-04-02,2468,True,FirstEnergy Corp.,FE,cs
2019-04-02,13674,True,Four Seasons Education (Cayman) Inc. American Depositary Shares each two ADSs representing one,FEDU,cs
2019-04-02,2471,True,First Trust MLP and Energy Income Fund of Beneficial Interest,FEI,cs
2019-04-02,2473,True,Frequency Electronics Inc.,FEIM,cs
2019-04-02,2474,True,Franklin Electric Co. Inc.,FELE,cs
2019-04-02,8608,True,Foresight Energy LP representing Limited Partner Interests,FELP,cs
2019-04-02,2475,True,First Trust Emerging Markets AlphaDEX Fund,FEM,et
2019-04-02,9464,True,First Trust Emerging Markets Local Currency Bond E,FEMB,N/A
2019-04-02,2476,True,First Trust Emerging Markets Small Cap AlphaDEX Fund,FEMS,et
2019-04-02,2477,True,First Trust Energy Income and Growth Fund,FEN,cs
2019-04-02,13382,True,Fennec Pharmaceuticals Inc.,FENC,cs
2019-04-02,2478,True,Phoenix New Media Limited American Depositary Shares each representing 8 Class A.,FENG,cs
2019-04-02,8028,True,Fidelity MSCI Energy Index,FENY,N/A
2019-04-02,2479,True,First Trust/Aberdeen Emerging Opportunity Fund of Beneficial Interest,FEO,cs
2019-04-02,2480,True,First Trust Europe AlphaDEX Fund,FEP,et
2019-04-02,2482,True,Forum Energy Technologies Inc.,FET,cs
2019-04-02,2483,True,SPDR DJ STOXX 50 Etf,FEU,et
2019-04-02,14536,True,Credit Suisse FI Enhanced Europe 50 ETNs,FEUL,N/A
2019-04-02,9397,True,First Trust Eurozone AlphaDEX ETF,FEUZ,N/A
2019-04-02,2484,True,First Trust Large Cap Core AlphaDEX Fund,FEX,et
2019-04-02,7772,True,FireEye Inc.,FEYE,cs
2019-04-02,2485,True,SPDR DJ Euro STOXX 50 Etf,FEZ,et
2019-04-02,2486,True,FutureFuel Corp.,FF,cs
